feature,importance
log_ret_lag3,116.22222222222223
log_ret_lag21,110.38888888888889
log_ret_lag2,109.05555555555556
stoch_5,104.27777777777777
log_ret_lag14,98.5
pct_ret_lag20,98.22222222222223
lower_shadow_pct,94.44444444444444
log_ret_lag5,93.11111111111111
body_pct,92.11111111111111
log_ret_lag10,90.5
log_ret_lag7,89.33333333333333
obv_roc_5,88.33333333333333
fr_zscore_30d,81.55555555555556
obv_roc_20,80.27777777777777
log_ret_lag1,79.0
fr_zscore_7d,77.5
rv_ratio_5_20,77.33333333333333
fr_roc_3d,72.72222222222223
upper_shadow_pct,70.22222222222223
rv_ratio_10_20,68.77777777777777
vol_zscore_5,66.88888888888889
fr_roc_1d,64.22222222222223
bb_width_20,60.5
vol_zscore_20,60.44444444444444
fr_zscore_90d,58.388888888888886
rv_ratio_5_60,55.55555555555556
bb_width_10,54.77777777777778
vol_zscore_60,54.611111111111114
obv_roc_10,54.55555555555556
roc_5,54.44444444444444
roc_10,54.0
bb_pctb_10,53.166666666666664
macd_hist_12_26,53.05555555555556
atr_7,53.0
rv_5,52.72222222222222
daily_range_pct,51.611111111111114
fr_roc_7d,51.5
roc_20,49.94444444444444
roc_60,48.888888888888886
rsi_14,48.111111111111114
macd_hist_26_50,47.888888888888886
fr_5d_avg,47.27777777777778
rv_10,46.44444444444444
macd_hist_5_13,46.388888888888886
rsi_7,46.333333333333336
fr_20d_avg,43.833333333333336
fr_7d_avg,43.72222222222222
atr_7_pct,43.72222222222222
rv_20,43.388888888888886
price_vs_ema9,42.833333333333336
stoch_14,42.77777777777778
stoch_21,39.388888888888886
bb_width_50,38.55555555555556
bb_pctb_50,38.44444444444444
sma200,38.388888888888886
atr_14_pct,36.666666666666664
atr_21_pct,36.611111111111114
rsi_28,36.44444444444444
macd_line_26_50,36.0
price_vs_sma200,35.888888888888886
bb_pctb_20,35.72222222222222
price_vs_ema50,29.61111111111111
fr_raw,29.27777777777778
rv_60,28.5
price_vs_sma20,28.333333333333332
price_vs_sma50,28.055555555555557
price_vs_ema21,27.666666666666668
macd_line_12_26,26.61111111111111
macd_line_5_13,25.444444444444443
atr_14,25.0
rsi_14_vs50,24.944444444444443
ema9,23.88888888888889
atr_21,23.38888888888889
day_of_week_cos,20.944444444444443
pct_ret_lag5,20.22222222222222
day_of_week,19.88888888888889
month_cos,19.833333333333332
day_of_week_sin,19.77777777777778
rsi_7_vs50,19.166666666666668
ema50,17.333333333333332
pct_ret_lag10,17.166666666666668
month,16.88888888888889
sma20,16.5
rsi_28_vs50,15.777777777777779
sma50,15.666666666666666
pct_ret_lag1,14.166666666666666
month_sin,11.722222222222221
ema21,10.444444444444445
ema9_vs_ema21,1.7777777777777777
high_vol_regime,0.7777777777777778
macd_cross_26_50,0.3888888888888889
macd_cross_12_26,0.3333333333333333
ema21_vs_ema50,0.2777777777777778
fr_high_flag,0.2222222222222222
macd_cross_5_13,0.16666666666666666
ema50_vs_sma200,0.1111111111111111
fr_low_flag,0.0
