Strategy,Metric,Custom Engine,Standard Engine,Difference
Classical Pairs Trading,Annualized CAGR,-4.77%,-3.27%,-1.499%
Classical Pairs Trading,Annualized Volatility,7.34%,7.32%,0.019%
Classical Pairs Trading,Sharpe Ratio,-0.630,-1.101,0.4719
Classical Pairs Trading,Deflated Sharpe Ratio,0.0010,0.0037,-0.0026
Classical Pairs Trading,Max Drawdown,-17.62%,-15.66%,-1.961%
Classical Pairs Trading,Trade Count,2470,1410,1060
Classical Pairs Trading,Equity Correlation,1.00000,0.98248,0.00000
LSTM Pairs (Raw),Annualized CAGR,-9.61%,-7.20%,-2.412%
LSTM Pairs (Raw),Annualized Volatility,12.00%,11.89%,0.108%
LSTM Pairs (Raw),Sharpe Ratio,-0.783,-0.990,0.2077
LSTM Pairs (Raw),Deflated Sharpe Ratio,0.0004,0.0016,-0.0012
LSTM Pairs (Raw),Max Drawdown,-32.48%,-27.39%,-5.090%
LSTM Pairs (Raw),Trade Count,2492,2431,61
LSTM Pairs (Raw),Equity Correlation,1.00000,0.99558,0.00000
LSTM Pairs (Thresh=0.02),Annualized CAGR,-9.25%,-6.78%,-2.476%
LSTM Pairs (Thresh=0.02),Annualized Volatility,10.90%,10.81%,0.092%
LSTM Pairs (Thresh=0.02),Sharpe Ratio,-0.836,-1.058,0.2221
LSTM Pairs (Thresh=0.02),Deflated Sharpe Ratio,0.0003,0.0014,-0.0011
LSTM Pairs (Thresh=0.02),Max Drawdown,-31.35%,-25.53%,-5.818%
LSTM Pairs (Thresh=0.02),Trade Count,2492,2295,197
LSTM Pairs (Thresh=0.02),Equity Correlation,1.00000,0.99507,0.00000
