Asset,Metric,Custom Engine,Standard Engine,Difference
BTC,Annualized CAGR,-9.95%,-10.60%,0.648%
BTC,Annualized Volatility,21.87%,19.72%,2.151%
BTC,Sharpe Ratio,-0.455,-0.538,0.0825
BTC,Deflated Sharpe Ratio,0.0005,0.0004,0.0001
BTC,Max Drawdown,-50.20%,-49.76%,-0.442%
BTC,Trade Count,513,1275,-762
BTC,Equity Correlation,1.00000,0.99227,0.00000
ETH,Annualized CAGR,-5.14%,-5.52%,0.380%
ETH,Annualized Volatility,30.19%,29.06%,1.134%
ETH,Sharpe Ratio,-0.170,-0.190,0.0197
ETH,Deflated Sharpe Ratio,0.0049,0.0045,0.0004
ETH,Max Drawdown,-52.81%,-53.93%,1.121%
ETH,Trade Count,526,1339,-813
ETH,Equity Correlation,1.00000,0.96612,0.00000
