Metric,LightGBM (net),Random Forest (net),Logistic Regression (net),Buy & Hold
CAGR (Gross),-36.7%,-5.6%,-24.6%,19.0%
CAGR (Net),-36.7%,-5.6%,-24.6%,19.0%
Cost Drag (CAGR),0.0%,0.0%,0.0%,0.0%
Annualized Volatility,45.0%,37.9%,42.6%,53.7%
Sharpe (Gross),-0.90,-0.09,-0.56,0.50
Sharpe (Net),-0.90,-0.09,-0.56,0.50
Sortino (Net),-1.13,-0.12,-0.70,0.71
Calmar (Net),-0.39,-0.08,-0.29,0.25
Max Drawdown (Net),-93.8%,-72.3%,-83.9%,-76.7%
Win Rate,44.0%,56.6%,54.0%,100.0%
Profit Factor,0.63,0.82,0.64,inf
Number of Trades,461,244,261,1
Turnover (trades/yr),98.4,52.1,55.7,0.2
