Metric,LightGBM (net),Random Forest (net),Logistic Regression (net),Buy & Hold
CAGR (Gross),7.3%,1.5%,-5.3%,2.1%
CAGR (Net),7.3%,1.5%,-5.3%,2.1%
Cost Drag (CAGR),0.0%,0.0%,0.0%,0.0%
Annualized Volatility,60.5%,48.9%,58.6%,71.9%
Sharpe (Gross),0.33,0.17,0.12,0.32
Sharpe (Net),0.33,0.17,0.12,0.32
Sortino (Net),0.47,0.24,0.15,0.47
Calmar (Net),0.12,0.02,-0.07,0.03
Max Drawdown (Net),-62.7%,-74.9%,-74.0%,-79.4%
Win Rate,47.7%,55.1%,56.6%,100.0%
Profit Factor,0.92,0.90,0.95,inf
Number of Trades,522,272,309,1
Turnover (trades/yr),111.4,58.1,66.0,0.2
