Date,Close,Signal_LGB,Signal_RF,Signal_LR,Signal_BH
2021-07-23 00:00:00+00:00,2124.33,1.0,1.0,0.0,1.0
2021-07-24 00:00:00+00:00,2183.53,-1.0,0.0,0.0,1.0
2021-07-25 00:00:00+00:00,2188.11,1.0,0.0,1.0,1.0
2021-07-26 00:00:00+00:00,2227.41,1.0,1.0,1.0,1.0
2021-08-03 00:00:00+00:00,2506.87,-1.0,0.0,-1.0,1.0
2021-08-04 00:00:00+00:00,2725.0,1.0,1.0,-1.0,1.0
2021-08-05 00:00:00+00:00,2826.8,1.0,1.0,0.0,1.0
2021-08-06 00:00:00+00:00,2892.3,-1.0,0.0,-1.0,1.0
2021-08-07 00:00:00+00:00,3163.26,1.0,0.0,0.0,1.0
2021-08-08 00:00:00+00:00,3014.06,1.0,0.0,-1.0,1.0
2021-08-09 00:00:00+00:00,3163.43,1.0,1.0,-1.0,1.0
2021-08-10 00:00:00+00:00,3143.98,-1.0,0.0,-1.0,1.0
2021-08-11 00:00:00+00:00,3161.52,-1.0,-1.0,-1.0,1.0
2021-08-12 00:00:00+00:00,3046.74,-1.0,0.0,-1.0,1.0
2021-08-13 00:00:00+00:00,3324.12,-1.0,0.0,-1.0,1.0
2021-08-14 00:00:00+00:00,3266.31,-1.0,-1.0,-1.0,1.0
2021-08-15 00:00:00+00:00,3312.31,-1.0,0.0,-1.0,1.0
2021-08-16 00:00:00+00:00,3146.83,-1.0,0.0,-1.0,1.0
2021-08-17 00:00:00+00:00,3014.64,1.0,1.0,-1.0,1.0
2021-08-18 00:00:00+00:00,3014.25,0.0,0.0,-1.0,1.0
2021-08-19 00:00:00+00:00,3186.8,-1.0,0.0,-1.0,1.0
2021-08-20 00:00:00+00:00,3286.62,-1.0,0.0,-1.0,1.0
2021-08-21 00:00:00+00:00,3226.4,0.0,0.0,-1.0,1.0
2021-08-22 00:00:00+00:00,3241.29,1.0,0.0,-1.0,1.0
2021-08-23 00:00:00+00:00,3323.01,1.0,0.0,-1.0,1.0
2021-08-24 00:00:00+00:00,3173.98,-1.0,0.0,-1.0,1.0
2021-08-25 00:00:00+00:00,3227.9,-1.0,0.0,-1.0,1.0
2021-08-26 00:00:00+00:00,3093.77,1.0,0.0,-1.0,1.0
2021-08-27 00:00:00+00:00,3273.91,-1.0,0.0,-1.0,1.0
2021-08-28 00:00:00+00:00,3247.29,-1.0,0.0,-1.0,1.0
2021-08-29 00:00:00+00:00,3225.47,1.0,0.0,-1.0,1.0
2021-08-30 00:00:00+00:00,3230.43,-1.0,0.0,-1.0,1.0
2021-08-31 00:00:00+00:00,3430.49,1.0,1.0,-1.0,1.0
2021-09-01 00:00:00+00:00,3831.44,1.0,1.0,-1.0,1.0
2021-09-02 00:00:00+00:00,3788.95,-1.0,0.0,-1.0,1.0
2021-09-03 00:00:00+00:00,3942.79,-1.0,0.0,0.0,1.0
2021-09-04 00:00:00+00:00,3889.71,-1.0,0.0,-1.0,1.0
2021-09-05 00:00:00+00:00,3952.56,0.0,0.0,-1.0,1.0
2021-09-06 00:00:00+00:00,3929.0,-1.0,0.0,-1.0,1.0
2021-09-07 00:00:00+00:00,3435.0,-1.0,0.0,1.0,1.0
2021-09-08 00:00:00+00:00,3497.99,-1.0,0.0,0.0,1.0
2021-09-09 00:00:00+00:00,3426.42,-1.0,0.0,-1.0,1.0
2021-09-10 00:00:00+00:00,3209.84,-1.0,0.0,0.0,1.0
2021-09-11 00:00:00+00:00,3267.23,-1.0,0.0,-1.0,1.0
2021-09-12 00:00:00+00:00,3405.21,-1.0,0.0,-1.0,1.0
2021-09-13 00:00:00+00:00,3284.41,1.0,0.0,1.0,1.0
2021-09-14 00:00:00+00:00,3435.42,1.0,0.0,-1.0,1.0
2021-09-15 00:00:00+00:00,3614.72,0.0,0.0,-1.0,1.0
2021-09-16 00:00:00+00:00,3570.46,1.0,0.0,0.0,1.0
2021-09-17 00:00:00+00:00,3400.99,1.0,0.0,-1.0,1.0
2021-09-18 00:00:00+00:00,3435.35,0.0,0.0,-1.0,1.0
2021-09-19 00:00:00+00:00,3328.72,0.0,0.0,0.0,1.0
2021-09-20 00:00:00+00:00,2978.34,1.0,1.0,0.0,1.0
2021-09-21 00:00:00+00:00,2765.48,1.0,0.0,-1.0,1.0
2021-09-22 00:00:00+00:00,3076.62,1.0,1.0,-1.0,1.0
2021-09-23 00:00:00+00:00,3150.7,-1.0,0.0,-1.0,1.0
2021-09-24 00:00:00+00:00,2926.37,1.0,1.0,0.0,1.0
2021-09-25 00:00:00+00:00,2921.08,1.0,1.0,0.0,1.0
2021-09-26 00:00:00+00:00,3057.63,1.0,1.0,1.0,1.0
2021-09-27 00:00:00+00:00,2923.6,1.0,1.0,0.0,1.0
2021-09-28 00:00:00+00:00,2803.5,1.0,1.0,1.0,1.0
2021-09-29 00:00:00+00:00,2848.38,-1.0,0.0,1.0,1.0
2021-09-30 00:00:00+00:00,2999.45,1.0,1.0,1.0,1.0
2021-10-01 00:00:00+00:00,3308.58,1.0,1.0,1.0,1.0
2021-10-02 00:00:00+00:00,3387.25,-1.0,0.0,1.0,1.0
2021-10-03 00:00:00+00:00,3418.25,-1.0,-1.0,1.0,1.0
2021-10-04 00:00:00+00:00,3386.12,1.0,0.0,1.0,1.0
2021-10-05 00:00:00+00:00,3517.64,-1.0,-1.0,-1.0,1.0
2021-10-06 00:00:00+00:00,3576.85,-1.0,-1.0,0.0,1.0
2021-10-07 00:00:00+00:00,3589.85,-1.0,-1.0,0.0,1.0
2021-10-08 00:00:00+00:00,3563.81,-1.0,-1.0,-1.0,1.0
2021-10-09 00:00:00+00:00,3577.8,-1.0,-1.0,-1.0,1.0
2021-10-10 00:00:00+00:00,3415.01,-1.0,0.0,-1.0,1.0
2021-10-11 00:00:00+00:00,3543.1,1.0,0.0,-1.0,1.0
2021-10-12 00:00:00+00:00,3492.91,-1.0,0.0,-1.0,1.0
2021-10-13 00:00:00+00:00,3610.05,-1.0,-1.0,-1.0,1.0
2021-10-14 00:00:00+00:00,3794.19,0.0,0.0,-1.0,1.0
2021-10-15 00:00:00+00:00,3872.71,-1.0,0.0,-1.0,1.0
2021-10-16 00:00:00+00:00,3833.3,-1.0,-1.0,-1.0,1.0
2021-10-17 00:00:00+00:00,3851.01,-1.0,-1.0,-1.0,1.0
2021-10-18 00:00:00+00:00,3748.31,1.0,1.0,-1.0,1.0
2021-10-19 00:00:00+00:00,3881.48,-1.0,0.0,-1.0,1.0
2021-10-20 00:00:00+00:00,4164.14,-1.0,0.0,-1.0,1.0
2021-10-21 00:00:00+00:00,4057.26,-1.0,-1.0,-1.0,1.0
2021-10-22 00:00:00+00:00,3975.56,0.0,0.0,-1.0,1.0
2021-10-23 00:00:00+00:00,4170.5,-1.0,-1.0,-1.0,1.0
2021-10-24 00:00:00+00:00,4084.61,-1.0,0.0,-1.0,1.0
2021-10-25 00:00:00+00:00,4224.14,-1.0,0.0,-1.0,1.0
2021-10-26 00:00:00+00:00,4133.39,-1.0,-1.0,-1.0,1.0
2021-10-27 00:00:00+00:00,3923.57,-1.0,0.0,0.0,1.0
2021-10-28 00:00:00+00:00,4288.96,0.0,0.0,0.0,1.0
2021-10-29 00:00:00+00:00,4421.53,1.0,0.0,0.0,1.0
2021-10-30 00:00:00+00:00,4324.82,0.0,0.0,-1.0,1.0
2021-10-31 00:00:00+00:00,4288.86,1.0,1.0,-1.0,1.0
2021-11-01 00:00:00+00:00,4322.72,1.0,0.0,-1.0,1.0
2021-11-02 00:00:00+00:00,4593.88,1.0,0.0,-1.0,1.0
2021-11-03 00:00:00+00:00,4606.59,1.0,0.0,-1.0,1.0
2021-11-04 00:00:00+00:00,4535.37,1.0,0.0,-1.0,1.0
2021-11-05 00:00:00+00:00,4477.29,1.0,-1.0,-1.0,1.0
2021-11-06 00:00:00+00:00,4521.4,1.0,0.0,-1.0,1.0
2021-11-07 00:00:00+00:00,4616.5,-1.0,0.0,-1.0,1.0
2021-11-08 00:00:00+00:00,4814.3,0.0,0.0,-1.0,1.0
2021-11-09 00:00:00+00:00,4734.98,-1.0,-1.0,-1.0,1.0
2021-11-10 00:00:00+00:00,4632.21,0.0,1.0,-1.0,1.0
2021-11-11 00:00:00+00:00,4721.19,0.0,1.0,-1.0,1.0
2021-11-12 00:00:00+00:00,4665.99,1.0,1.0,-1.0,1.0
2021-11-13 00:00:00+00:00,4644.42,-1.0,0.0,-1.0,1.0
2021-11-14 00:00:00+00:00,4629.44,0.0,1.0,-1.0,1.0
2021-11-15 00:00:00+00:00,4567.01,0.0,0.0,0.0,1.0
2021-11-16 00:00:00+00:00,4209.42,1.0,1.0,0.0,1.0
2021-11-17 00:00:00+00:00,4287.99,0.0,1.0,-1.0,1.0
2021-11-18 00:00:00+00:00,3997.72,1.0,1.0,1.0,1.0
2021-11-19 00:00:00+00:00,4293.44,0.0,0.0,0.0,1.0
2021-11-20 00:00:00+00:00,4412.55,0.0,1.0,-1.0,1.0
2021-11-21 00:00:00+00:00,4259.23,1.0,0.0,-1.0,1.0
2021-11-22 00:00:00+00:00,4086.57,0.0,1.0,1.0,1.0
2021-11-23 00:00:00+00:00,4341.36,-1.0,0.0,1.0,1.0
2021-11-24 00:00:00+00:00,4271.29,-1.0,0.0,1.0,1.0
2021-11-25 00:00:00+00:00,4527.86,1.0,1.0,0.0,1.0
2021-11-26 00:00:00+00:00,4040.66,-1.0,0.0,1.0,1.0
2021-11-27 00:00:00+00:00,4095.33,-1.0,0.0,1.0,1.0
2021-11-28 00:00:00+00:00,4296.6,-1.0,1.0,1.0,1.0
2021-11-29 00:00:00+00:00,4445.1,-1.0,0.0,1.0,1.0
2021-11-30 00:00:00+00:00,4631.51,0.0,1.0,1.0,1.0
2021-12-01 00:00:00+00:00,4586.66,0.0,0.0,1.0,1.0
2021-12-02 00:00:00+00:00,4514.32,0.0,1.0,1.0,1.0
2021-12-03 00:00:00+00:00,4213.66,1.0,1.0,1.0,1.0
2021-12-04 00:00:00+00:00,4115.79,1.0,1.0,1.0,1.0
2021-12-05 00:00:00+00:00,4197.53,0.0,1.0,0.0,1.0
2021-12-06 00:00:00+00:00,4345.2,1.0,1.0,1.0,1.0
2021-12-07 00:00:00+00:00,4305.82,1.0,0.0,1.0,1.0
2021-12-08 00:00:00+00:00,4435.33,0.0,-1.0,0.0,1.0
2021-12-09 00:00:00+00:00,4103.8,0.0,1.0,1.0,1.0
2021-12-10 00:00:00+00:00,3895.95,1.0,1.0,1.0,1.0
2021-12-11 00:00:00+00:00,4089.81,1.0,0.0,0.0,1.0
2021-12-12 00:00:00+00:00,4129.0,1.0,0.0,-1.0,1.0
2021-12-13 00:00:00+00:00,3780.63,1.0,1.0,1.0,1.0
2021-12-14 00:00:00+00:00,3856.66,1.0,0.0,0.0,1.0
2021-12-15 00:00:00+00:00,4019.01,1.0,1.0,0.0,1.0
2021-12-16 00:00:00+00:00,3958.67,-1.0,0.0,0.0,1.0
2021-12-17 00:00:00+00:00,3873.93,1.0,1.0,0.0,1.0
2021-12-18 00:00:00+00:00,3957.64,0.0,0.0,-1.0,1.0
2021-12-19 00:00:00+00:00,3922.51,1.0,0.0,-1.0,1.0
2021-12-20 00:00:00+00:00,3943.48,-1.0,0.0,-1.0,1.0
2021-12-21 00:00:00+00:00,4014.38,-1.0,-1.0,-1.0,1.0
2021-12-22 00:00:00+00:00,3978.62,-1.0,-1.0,-1.0,1.0
2021-12-23 00:00:00+00:00,4111.3,0.0,1.0,-1.0,1.0
2021-12-24 00:00:00+00:00,4045.0,1.0,1.0,-1.0,1.0
2021-12-25 00:00:00+00:00,4093.87,1.0,0.0,0.0,1.0
2021-12-26 00:00:00+00:00,4062.24,-1.0,0.0,0.0,1.0
2021-12-27 00:00:00+00:00,4037.36,0.0,0.0,0.0,1.0
2021-12-28 00:00:00+00:00,3791.99,1.0,1.0,1.0,1.0
2021-12-29 00:00:00+00:00,3628.55,1.0,1.0,1.0,1.0
2021-12-30 00:00:00+00:00,3708.37,0.0,1.0,0.0,1.0
2021-12-31 00:00:00+00:00,3676.02,1.0,1.0,1.0,1.0
2022-01-01 00:00:00+00:00,3763.06,1.0,1.0,1.0,1.0
2022-01-02 00:00:00+00:00,3826.21,1.0,1.0,1.0,1.0
2022-01-03 00:00:00+00:00,3764.07,0.0,0.0,1.0,1.0
2022-01-04 00:00:00+00:00,3785.6,-1.0,1.0,1.0,1.0
2022-01-05 00:00:00+00:00,3537.71,1.0,1.0,1.0,1.0
2022-01-06 00:00:00+00:00,3404.6,1.0,1.0,1.0,1.0
2022-01-07 00:00:00+00:00,3196.58,1.0,1.0,1.0,1.0
2022-01-08 00:00:00+00:00,3080.03,1.0,1.0,1.0,1.0
2022-01-09 00:00:00+00:00,3150.0,1.0,1.0,1.0,1.0
2022-01-10 00:00:00+00:00,3081.31,1.0,1.0,1.0,1.0
2022-01-11 00:00:00+00:00,3236.86,1.0,1.0,1.0,1.0
2022-01-12 00:00:00+00:00,3369.93,1.0,1.0,1.0,1.0
2022-01-13 00:00:00+00:00,3240.36,1.0,1.0,1.0,1.0
2022-01-14 00:00:00+00:00,3305.6,1.0,1.0,1.0,1.0
2022-01-15 00:00:00+00:00,3324.05,1.0,1.0,1.0,1.0
2022-01-16 00:00:00+00:00,3345.49,1.0,1.0,1.0,1.0
2022-01-17 00:00:00+00:00,3208.61,1.0,1.0,1.0,1.0
2022-01-18 00:00:00+00:00,3159.32,1.0,1.0,1.0,1.0
2022-01-19 00:00:00+00:00,3082.81,1.0,1.0,1.0,1.0
2022-01-20 00:00:00+00:00,2999.92,1.0,0.0,1.0,1.0
2022-01-21 00:00:00+00:00,2566.91,1.0,1.0,1.0,1.0
2022-01-22 00:00:00+00:00,2410.96,1.0,1.0,1.0,1.0
2022-01-23 00:00:00+00:00,2538.41,1.0,1.0,1.0,1.0
2022-01-24 00:00:00+00:00,2438.13,1.0,1.0,1.0,1.0
2022-01-25 00:00:00+00:00,2457.37,1.0,1.0,1.0,1.0
2022-01-26 00:00:00+00:00,2461.61,1.0,1.0,1.0,1.0
2022-01-27 00:00:00+00:00,2422.61,1.0,1.0,1.0,1.0
2022-01-28 00:00:00+00:00,2543.34,1.0,1.0,1.0,1.0
2022-01-29 00:00:00+00:00,2599.94,1.0,0.0,1.0,1.0
2022-01-30 00:00:00+00:00,2600.45,-1.0,0.0,1.0,1.0
2022-01-31 00:00:00+00:00,2685.34,0.0,0.0,1.0,1.0
2022-02-01 00:00:00+00:00,2786.38,-1.0,-1.0,1.0,1.0
2022-02-02 00:00:00+00:00,2678.0,0.0,0.0,1.0,1.0
2022-02-03 00:00:00+00:00,2694.37,1.0,0.0,1.0,1.0
2022-02-04 00:00:00+00:00,2993.65,1.0,0.0,1.0,1.0
2022-02-05 00:00:00+00:00,3011.59,1.0,0.0,1.0,1.0
2022-02-06 00:00:00+00:00,3054.26,1.0,0.0,1.0,1.0
2022-02-07 00:00:00+00:00,3138.55,1.0,0.0,1.0,1.0
2022-02-08 00:00:00+00:00,3115.23,1.0,0.0,1.0,1.0
2022-02-09 00:00:00+00:00,3241.82,-1.0,0.0,0.0,1.0
2022-02-10 00:00:00+00:00,3070.9,1.0,0.0,1.0,1.0
2022-02-11 00:00:00+00:00,2926.04,1.0,0.0,1.0,1.0
2022-02-12 00:00:00+00:00,2916.93,1.0,0.0,1.0,1.0
2022-02-13 00:00:00+00:00,2870.32,1.0,0.0,1.0,1.0
2022-02-14 00:00:00+00:00,2928.87,1.0,0.0,1.0,1.0
2022-02-15 00:00:00+00:00,3183.73,1.0,0.0,0.0,1.0
2022-02-16 00:00:00+00:00,3121.8,1.0,0.0,1.0,1.0
