Metric,Classical Pairs Trading,LSTM Pairs (Raw),LSTM Pairs (Thresh=0.02)
Total Return [%],-35.49040371,-65.13096489,-63.74587576
Total Return Gross [%],-27.45034234,-57.32854096,-55.39909619
Cost Drag [%],8.040061369,7.802423925,8.346779567
Annualized CAGR [%],-12.05854493,-26.57030284,-25.72701188
Annualized Volatility [%],18.65907732,36.44748958,32.31535314
Sharpe Ratio,-0.594801221,-0.665455213,-0.759016708
Sortino Ratio,-0.599994958,-0.939377407,-1.049510896
Max Drawdown [%],-43.36127849,-74.1204229,-73.08989108
Calmar Ratio,-0.278094774,-0.358474787,-0.351991383
Trade Count,1812,1414,1498
Hit Rate [%],48.45474614,46.67609618,47.79706275
