Metric,Buy and Hold BTC,SMA Crossover (50/200),Contrarian Funding Strategy
Total Return [%],698.828179932714,535.3128668592525,9.323362352383224
Total Return Gross [%],700.0268216167027,546.8520423709843,65.42833632885691
Cost Drag [%],1.1986416839888214,11.53917551173178,56.104973976473694
Annualized CAGR [%],42.48836516168897,37.034618589788735,1.530552546428754
Annualized Volatility [%],57.977268283960804,45.777385939911525,27.645849746320266
Sharpe Ratio,0.9003586626492541,0.9155783192813128,0.19292969470914748
Sortino Ratio,1.2892680877083904,1.074997344168223,0.14800880819861212
Max Drawdown [%],-76.62925431645935,-56.95913880106841,-38.98519643965237
Calmar Ratio,0.5544666399365289,0.6501962524246252,0.039259839277659976
Trade Count,1,6,197
Hit Rate [%],0.0,66.66666666666666,55.32994923857868
